"filename","tags"
apples-gala,fruit;food;apple;outdoor
apples-granny,fruit;food;diet food;natural foods
bags,cartoon;text
bananas,food;cooking;plantain;saba banana;vegetable;matoke;fruit;banana
bbq-sauce,bottle;text;drink
black-beans-refried,indoor;text;tin can;waste container
bread-raisin,text;cartoon;book
candle-mango,waste container;food;text
cereal-cheerios,text;food;snack
cereal-oatmeal,text;snack;food;fast food;menu
chicken-breaded,fast food;food;text;indoor;snack
chicken-frozen,food;snack;text;fast food;convenience food;covered
chips-tortilla,text;indoor
chocolate-raspberry,text;book;indoor;shelf
flowers,text;cartoon
grapefruit,oranges;fruit;orange;text;food;pile;grapefruit
grapes,food;text;vegetable;fruit;fast food;food group;tomato
jalapenos,text
juice-mango-passionfruit,text;bottle;drink;soft drink;sign;food
lemonade,text;food;box;bottle
mango-frozen,food;snack;text;fruit
maple-syrup,bottle;text;indoor;food;beer;alcohol
marinara,bottle;indoor;text;food;beer;drink
muffins-banana,food;text;snack;indoor;fast food
nectarines,text;fruit;food
pancakes,fast food;text;snack;baked goods;indoor;food;dessert;dish;delicious;junk food
paper-towels,text;cartoon;poster;handwriting;drawing
pie-apple,text;food;sign
plant-anthurium,houseplant;flowerpot
pork-chops,text;food;indoor;fast food;sign;snack
strawberries,text;food;sign;fruit
tomato-sauce,tomato;indoor;food;fruit;drink;vegetable;text
tortillas-flour,text;food;snack;fast food
turkey-breast,text;food;snack
waffles,fast food;text;food;snack;menu;baked goods
wine-contadino,bottle;wine;text
wine-mbali,convenience store;text;soft drink;indoor;bottle;store;scene
yogurt,text;indoor;food
